path,width,height,alpha_min,alpha_max
03_effects/06_misc-sparkles/06_misc-sparkles_006.png,60,64,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_007.png,47,47,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_008.png,33,31,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_009.png,57,59,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_010.png,51,50,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_011.png,30,29,0,254
03_effects/06_misc-sparkles/06_misc-sparkles_012.png,37,29,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_013.png,48,60,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_014.png,31,31,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_015.png,66,73,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_016.png,31,35,0,252
03_effects/06_misc-sparkles/06_misc-sparkles_017.png,35,34,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_018.png,55,61,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_019.png,60,59,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_020.png,58,54,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_021.png,53,53,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_022.png,42,39,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_023.png,40,41,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_024.png,58,58,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_025.png,55,56,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_026.png,42,48,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_027.png,30,39,0,255
03_effects/06_misc-sparkles/06_misc-sparkles_028.png,39,36,0,255
04_planets/01_large-planets/01_large-planets_001.png,245,250,255,255
04_planets/01_large-planets/01_large-planets_002.png,245,230,255,255
04_planets/01_large-planets/01_large-planets_003.png,250,230,255,255
04_planets/01_large-planets/01_large-planets_004.png,425,340,255,255
04_planets/01_large-planets/01_large-planets_005.png,385,340,255,255
04_planets/01_large-planets/01_large-planets_006.png,370,345,255,255
04_planets/01_large-planets/01_large-planets_007.png,220,235,255,255
04_planets/01_large-planets/01_large-planets_008.png,245,260,255,255
04_planets/01_large-planets/01_large-planets_009.png,1024,1024,0,255
04_planets/02_ringed-planets/02_ringed-planets_001.png,1254,1254,255,255
04_planets/02_ringed-planets/02_ringed-planets_002.png,240,235,255,255
04_planets/02_ringed-planets/02_ringed-planets_003.png,280,260,255,255
04_planets/02_ringed-planets/02_ringed-planets_004.png,340,305,255,255
04_planets/02_ringed-planets/02_ringed-planets_005.png,245,230,255,255
04_planets/02_ringed-planets/02_ringed-planets_006.png,500,500,0,255
04_planets/03_small-planets/03_small-planets_001.png,255,155,255,255
04_planets/03_small-planets/03_small-planets_002.png,155,155,255,255
04_planets/03_small-planets/03_small-planets_003.png,155,155,255,255
04_planets/03_small-planets/03_small-planets_004.png,160,155,255,255
04_planets/03_small-planets/03_small-planets_005.png,134,123,0,255
04_planets/03_small-planets/03_small-planets_006.png,162,110,0,255
04_planets/03_small-planets/03_small-planets_007.png,124,112,0,255
04_planets/03_small-planets/03_small-planets_008.png,135,113,0,255
04_planets/03_small-planets/03_small-planets_009.png,168,110,0,255
04_planets/03_small-planets/03_small-planets_010.png,122,116,0,255
04_planets/03_small-planets/03_small-planets_011.png,114,115,0,255
04_planets/03_small-planets/03_small-planets_012.png,173,107,0,255
04_planets/03_small-planets/03_small-planets_013.png,160,155,255,255
04_planets/03_small-planets/03_small-planets_014.png,160,155,255,255
04_planets/03_small-planets/03_small-planets_015.png,160,155,255,255
04_planets/04_orbits/04_orbits_001.png,210,125,255,255
04_planets/04_orbits/04_orbits_002.png,200,125,255,255
04_planets/04_orbits/04_orbits_003.png,220,125,255,255
04_planets/04_orbits/04_orbits_004.png,210,125,255,255
04_planets/04_orbits/04_orbits_005.png,210,125,255,255
04_planets/04_orbits/04_orbits_006.png,240,125,255,255
04_planets/05_asteroids/05_asteroids_001.png,155,135,255,255
04_planets/05_asteroids/05_asteroids_002.png,160,135,255,255
04_planets/05_asteroids/05_asteroids_003.png,180,135,255,255
04_planets/05_asteroids/05_asteroids_004.png,145,135,255,255
04_planets/05_asteroids/05_asteroids_005.png,155,135,255,255
04_planets/05_asteroids/05_asteroids_006.png,165,135,255,255
04_planets/05_asteroids/05_asteroids_007.png,140,135,255,255
04_planets/05_asteroids/05_asteroids_008.png,155,135,255,255
04_planets/05_asteroids/05_asteroids_009.png,126,102,0,255
04_planets/05_asteroids/05_asteroids_010.png,125,104,0,255
04_planets/05_asteroids/05_asteroids_011.png,103,107,0,255
04_planets/05_asteroids/05_asteroids_012.png,118,85,0,255
04_planets/05_asteroids/05_asteroids_013.png,115,95,0,255
04_planets/05_asteroids/05_asteroids_014.png,103,100,0,255
04_planets/05_asteroids/05_asteroids_015.png,123,94,0,255
04_planets/05_asteroids/05_asteroids_016.png,132,92,0,255
04_planets/05_asteroids/05_asteroids_017.png,73,47,0,255
04_planets/05_asteroids/05_asteroids_018.png,113,93,0,255
04_planets/05_asteroids/05_asteroids_019.png,104,84,0,255
04_planets/05_asteroids/05_asteroids_020.png,108,77,0,255
04_planets/05_asteroids/05_asteroids_021.png,94,71,0,255
04_planets/05_asteroids/05_asteroids_022.png,104,74,0,255
04_planets/05_asteroids/05_asteroids_023.png,81,65,0,255
04_planets/05_asteroids/05_asteroids_024.png,74,54,0,255
04_planets/05_asteroids/05_asteroids_025.png,100,73,0,255
04_planets/05_asteroids/05_asteroids_026.png,69,65,0,255
04_planets/05_asteroids/05_asteroids_027.png,81,91,0,255
04_planets/05_asteroids/05_asteroids_028.png,86,75,0,255
04_planets/05_asteroids/05_asteroids_029.png,80,69,0,255
04_planets/05_asteroids/05_asteroids_030.png,102,82,0,255
04_planets/05_asteroids/05_asteroids_031.png,78,76,0,255
04_planets/05_asteroids/05_asteroids_032.png,77,79,0,255
04_planets/05_asteroids/05_asteroids_033.png,74,77,0,255
04_planets/05_asteroids/05_asteroids_034.png,84,86,0,255
04_planets/05_asteroids/05_asteroids_035.png,79,85,0,255
04_planets/05_asteroids/05_asteroids_036.png,70,69,0,255
04_planets/05_asteroids/05_asteroids_037.png,75,70,0,255
04_planets/05_asteroids/05_asteroids_038.png,105,113,0,255
04_planets/05_asteroids/05_asteroids_039.png,80,75,0,255
04_planets/05_asteroids/05_asteroids_040.png,85,78,0,255
04_planets/05_asteroids/05_asteroids_041.png,82,83,0,255
04_planets/05_asteroids/05_asteroids_042.png,61,68,0,255
04_planets/05_asteroids/05_asteroids_043.png,83,68,0,255
